,NOME_SALA,REGISTRO_SALA,CNPJ_SALA,SITUACAO_SALA,DATA_SITUACAO_SALA,DATA_INICIO_FUNCIONAMENTO_SALA,ASSENTOS_SALA,ASSENTOS_CADEIRANTES,ASSENTOS_MOBILIDADE_REDUZIDA,ASSENTOS_OBESIDADE,ACESSO_ASSENTOS_COM_RAMPA,ACESSO_SALA_COM_RAMPA,BANHEIROS_ACESSIVEIS,NOME_COMPLEXO,REGISTRO_COMPLEXO,SITUACAO_COMPLEXO,DATA_SITUACAO_COMPLEXO,PAGINA_ELETRONICA_COMPLEXO,ENDERECO_COMPLEXO,NUMERO_ENDERECO_COMPLEXO,COMPLEMENTO_COMPLEXO,BAIRRO_COMPLEXO,MUNICIPIO_COMPLEXO,CEP_COMPLEXO,UF_COMPLEXO,COMPLEXO_ITINERANTE,OPERACAO_USUAL,NOME_EXIBIDOR,REGISTRO_EXIBIDOR,CNPJ_EXIBIDOR,SITUACAO_EXIBIDOR,NOME_GRUPO_EXIBIDOR
3542,CINÉPOLIS RIO DESIGN BARRA - SALA 02 TRADICIONAL,5006133.0,09.652.820/0060-92,EM FUNCIONAMENTO,26/04/2021,01/11/2018,149.0,4.0,1.0,1.0,SIM,NÃO,NÃO,CINÉPOLIS RIO DESIGN BARRA,41410,EM FUNCIONAMENTO,26/04/2021,cinepolis.com.br,AV DAS AMERICAS,7777.0,"SALAS 1, 3 e 3",BARRA DA TIJUCA,RIO DE JANEIRO,22793-081,RJ,NÃO,COMERCIAL,CINEPOLIS OPERADORA DE CINEMAS DO BRASIL LTDA,17266,09.652.820/0001-32,REGULAR,CINÉPOLIS
3543,CINÉPOLIS RIO DESIGN BARRA - SALA 03 VIP,5006134.0,09.652.820/0060-92,EM FUNCIONAMENTO,26/04/2021,01/11/2018,52.0,3.0,1.0,1.0,SIM,NÃO,NÃO,CINÉPOLIS RIO DESIGN BARRA,41410,EM FUNCIONAMENTO,26/04/2021,cinepolis.com.br,AV DAS AMERICAS,7777.0,"SALAS 1, 3 e 3",BARRA DA TIJUCA,RIO DE JANEIRO,22793-081,RJ,NÃO,COMERCIAL,CINEPOLIS OPERADORA DE CINEMAS DO BRASIL LTDA,17266,09.652.820/0001-32,REGULAR,CINÉPOLIS
4181,CINEMA ASTOR,5002200.0,33.610.049/0005-49,EM FUNCIONAMENTO,01/01/1971,01/01/1971,831.0,,,,NÃO,NÃO,NÃO,ESPLENDOR FILMS LTDA,13460,EM FUNCIONAMENTO,21/08/2009,,"AVENIDA MINISTRO EDGARD ROMERO, 236",,LOJA J,MADUREIRA,RIO DE JANEIRO,21360-200,RJ,NÃO,NÃO COMERCIAL,ESPLENDOR FILMS LTDA.,13459,33.610.049/0001-15,IRREGULAR,NÃO PERTENCE A NENHUM GRUPO EXIBIDOR
4182,CINEMA ORLY,5002201.0,33.610.049/0006-20,EM FUNCIONAMENTO,01/01/1959,01/01/1959,276.0,,,,NÃO,NÃO,NÃO,ESPLENDOR FILMS LTDA,13461,EM FUNCIONAMENTO,21/08/2009,,"RUA ALCINDO GUANABARA, 1721",,SUBSOLO,CENTRO,RIO DE JANEIRO,20031-130,RJ,NÃO,NÃO COMERCIAL,ESPLENDOR FILMS LTDA.,13459,33.610.049/0001-15,IRREGULAR,NÃO PERTENCE A NENHUM GRUPO EXIBIDOR
4196,CINE IRIS,5001061.0,42.596.486/0001-12,EM FUNCIONAMENTO,03/03/1977,03/03/1977,330.0,,,,NÃO,NÃO,NÃO,EXIBIDORA CINEMATOGRÁFICA CRUZ LTDA,6729,EM FUNCIONAMENTO,05/11/2011,HTTP://,"RUA DA CARIOCA, 49/51",,,CENTRO,RIO DE JANEIRO,22050-000,RJ,NÃO,NÃO COMERCIAL,EXIBIDORA CINEMATOGRÁFICA CRUZ LTDA,2946,42.596.486/0001-12,IRREGULAR,NÃO PERTENCE A NENHUM GRUPO EXIBIDOR
4235,CASA DE RUI BARBOSA,5001873.0,42.519.488/0001-08,EM FUNCIONAMENTO,06/04/1966,06/04/1966,281.0,,,,NÃO,NÃO,NÃO,FUNDAÇÃO CASA DE RUI BARBOSA,6728,EM FUNCIONAMENTO,21/08/2009,HTTP://WWW.CASARUIBARBOSA.GOV.BR,RUA SÃO CLEMENTE,,134,BOTAFOGO,RIO DE JANEIRO,22260-000,RJ,NÃO,NÃO COMERCIAL,FUNDAÇÃO CASA DE RUI BARBOSA,6072,42.519.488/0001-08,IRREGULAR,NÃO PERTENCE A NENHUM GRUPO EXIBIDOR
4472,CINEMA IMS-RJ,5001748.0,58.397.563/0004-98,EM FUNCIONAMENTO,01/11/1999,12/12/1995,113.0,2.0,,,SIM,NÃO,SIM,INSTITUTO MOREIRA SALLES RJ,5411,EM FUNCIONAMENTO,22/10/2009,HTTP://WWW.IMS.COM.BR,RUA MARQUES DE SÃO VICENTE ,476.0,,GÁVEA,RIO DE JANEIRO,22451-040,RJ,NÃO,NÃO COMERCIAL,INSTITUTO MOREIRA SALLES,860,58.397.563/0001-45,REGULAR,NÃO PERTENCE A NENHUM GRUPO EXIBIDOR
4504,JARDIM GUADALUPE 01,5003372.0,03.608.600/0029-26,EM FUNCIONAMENTO,31/03/2022,24/11/2011,265.0,6.0,0.0,2.0,SIM,NÃO,SIM,JARDIM GUADALUPE,20404,EM FUNCIONAMENTO,29/04/2021,,AV. BRASIL,22155.0,,GUADALUPE,RIO DE JANEIRO,21670-000,RJ,NÃO,COMERCIAL,MSA EMPRESA CINEMATOGRÁFICA LTDA,3136,03.608.600/0001-25,REGULAR,ARAÚJO
4505,JARDIM GUADALUPE 02,5003373.0,03.608.600/0029-26,EM FUNCIONAMENTO,29/04/2021,24/11/2011,364.0,10.0,0.0,2.0,SIM,NÃO,SIM,JARDIM GUADALUPE,20404,EM FUNCIONAMENTO,29/04/2021,,AV. BRASIL,22155.0,,GUADALUPE,RIO DE JANEIRO,21670-000,RJ,NÃO,COMERCIAL,MSA EMPRESA CINEMATOGRÁFICA LTDA,3136,03.608.600/0001-25,REGULAR,ARAÚJO
4506,JARDIM GUADALUPE 03,5003374.0,03.608.600/0029-26,EM FUNCIONAMENTO,29/04/2021,24/11/2011,211.0,5.0,0.0,2.0,SIM,NÃO,SIM,JARDIM GUADALUPE,20404,EM FUNCIONAMENTO,29/04/2021,,AV. BRASIL,22155.0,,GUADALUPE,RIO DE JANEIRO,21670-000,RJ,NÃO,COMERCIAL,MSA EMPRESA CINEMATOGRÁFICA LTDA,3136,03.608.600/0001-25,REGULAR,ARAÚJO
