,NOME_SALA,REGISTRO_SALA,CNPJ_SALA,SITUACAO_SALA,DATA_SITUACAO_SALA,DATA_INICIO_FUNCIONAMENTO_SALA,ASSENTOS_SALA,ASSENTOS_CADEIRANTES,ASSENTOS_MOBILIDADE_REDUZIDA,ASSENTOS_OBESIDADE,ACESSO_ASSENTOS_COM_RAMPA,ACESSO_SALA_COM_RAMPA,BANHEIROS_ACESSIVEIS,NOME_COMPLEXO,REGISTRO_COMPLEXO,SITUACAO_COMPLEXO,DATA_SITUACAO_COMPLEXO,PAGINA_ELETRONICA_COMPLEXO,ENDERECO_COMPLEXO,NUMERO_ENDERECO_COMPLEXO,COMPLEMENTO_COMPLEXO,BAIRRO_COMPLEXO,MUNICIPIO_COMPLEXO,CEP_COMPLEXO,UF_COMPLEXO,COMPLEXO_ITINERANTE,OPERACAO_USUAL,NOME_EXIBIDOR,REGISTRO_EXIBIDOR,CNPJ_EXIBIDOR,SITUACAO_EXIBIDOR,NOME_GRUPO_EXIBIDOR
5500,CINESYSTEM AMERICAS 06,5005002.0,07.524.011/0007-05,EM FUNCIONAMENTO,29/04/2021,11/12/2014,308.0,6.0,1.0,4.0,SIM,NÃO,SIM,REDECINE - RIO AMERICAS,28834,EM FUNCIONAMENTO,29/04/2021,,AV DAS AMERICAS,15500.0,LOJA 201 E 202 ,RECREIO DOS BANDEIRANTES,RIO DE JANEIRO,22790-702,RJ,NÃO,COMERCIAL,REDECINE - RIO CINEMATOGRAFICA S.A.,5348,07.524.011/0001-10,REGULAR,CINESYSTEM
5501,CINESYSTEM AMERICAS 07,5005003.0,07.524.011/0007-05,EM FUNCIONAMENTO,29/04/2021,11/12/2014,161.0,3.0,1.0,2.0,SIM,NÃO,SIM,REDECINE - RIO AMERICAS,28834,EM FUNCIONAMENTO,29/04/2021,,AV DAS AMERICAS,15500.0,LOJA 201 E 202 ,RECREIO DOS BANDEIRANTES,RIO DE JANEIRO,22790-702,RJ,NÃO,COMERCIAL,REDECINE - RIO CINEMATOGRAFICA S.A.,5348,07.524.011/0001-10,REGULAR,CINESYSTEM
5502,CINESYSTEM AMÉRICAS 08,5006100.0,07.524.011/0007-05,EM FUNCIONAMENTO,27/02/2024,30/08/2017,37.0,1.0,0.0,1.0,NÃO,NÃO,SIM,REDECINE - RIO AMERICAS,28834,EM FUNCIONAMENTO,29/04/2021,,AV DAS AMERICAS,15500.0,LOJA 201 E 202 ,RECREIO DOS BANDEIRANTES,RIO DE JANEIRO,22790-702,RJ,NÃO,COMERCIAL,REDECINE - RIO CINEMATOGRAFICA S.A.,5348,07.524.011/0001-10,REGULAR,CINESYSTEM
5503,CINESYSTEM AMÉRICAS 09,5006101.0,07.524.011/0007-05,EM FUNCIONAMENTO,05/06/2022,30/08/2018,46.0,1.0,0.0,1.0,NÃO,NÃO,SIM,REDECINE - RIO AMERICAS,28834,EM FUNCIONAMENTO,29/04/2021,,AV DAS AMERICAS,15500.0,LOJA 201 E 202 ,RECREIO DOS BANDEIRANTES,RIO DE JANEIRO,22790-702,RJ,NÃO,COMERCIAL,REDECINE - RIO CINEMATOGRAFICA S.A.,5348,07.524.011/0001-10,REGULAR,CINESYSTEM
5505,CINESYSTEM BANGU 01,5002131.0,07.524.011/0002-09,EM FUNCIONAMENTO,29/04/2021,28/11/2006,320.0,6.0,1.0,6.0,NÃO,NÃO,SIM,REDECINE - RIO BANGU,13236,EM FUNCIONAMENTO,29/04/2021,,RUA FONSECA ,240.0,LOJA 145,BANGU,RIO DE JANEIRO,21820-020,RJ,NÃO,COMERCIAL,REDECINE - RIO CINEMATOGRAFICA S.A.,5348,07.524.011/0001-10,REGULAR,CINESYSTEM
5506,CINESYSTEM BANGU 02,5002130.0,07.524.011/0002-09,EM FUNCIONAMENTO,29/04/2021,28/11/2006,373.0,3.0,1.0,3.0,NÃO,NÃO,SIM,REDECINE - RIO BANGU,13236,EM FUNCIONAMENTO,29/04/2021,,RUA FONSECA ,240.0,LOJA 145,BANGU,RIO DE JANEIRO,21820-020,RJ,NÃO,COMERCIAL,REDECINE - RIO CINEMATOGRAFICA S.A.,5348,07.524.011/0001-10,REGULAR,CINESYSTEM
5507,CINESYSTEM BANGU 03,5002133.0,07.524.011/0002-09,EM FUNCIONAMENTO,29/04/2021,28/11/2006,170.0,4.0,1.0,4.0,NÃO,NÃO,SIM,REDECINE - RIO BANGU,13236,EM FUNCIONAMENTO,29/04/2021,,RUA FONSECA ,240.0,LOJA 145,BANGU,RIO DE JANEIRO,21820-020,RJ,NÃO,COMERCIAL,REDECINE - RIO CINEMATOGRAFICA S.A.,5348,07.524.011/0001-10,REGULAR,CINESYSTEM
5508,CINESYSTEM BANGU 04,5002129.0,07.524.011/0002-09,EM FUNCIONAMENTO,29/04/2021,28/11/2006,190.0,4.0,1.0,4.0,NÃO,NÃO,SIM,REDECINE - RIO BANGU,13236,EM FUNCIONAMENTO,29/04/2021,,RUA FONSECA ,240.0,LOJA 145,BANGU,RIO DE JANEIRO,21820-020,RJ,NÃO,COMERCIAL,REDECINE - RIO CINEMATOGRAFICA S.A.,5348,07.524.011/0001-10,REGULAR,CINESYSTEM
5509,CINESYSTEM BANGU 05,5002134.0,07.524.011/0002-09,EM FUNCIONAMENTO,29/04/2021,28/11/2006,213.0,4.0,1.0,4.0,NÃO,NÃO,SIM,REDECINE - RIO BANGU,13236,EM FUNCIONAMENTO,29/04/2021,,RUA FONSECA ,240.0,LOJA 145,BANGU,RIO DE JANEIRO,21820-020,RJ,NÃO,COMERCIAL,REDECINE - RIO CINEMATOGRAFICA S.A.,5348,07.524.011/0001-10,REGULAR,CINESYSTEM
5510,CINESYSTEM BANGU 06,5002132.0,07.524.011/0002-09,EM FUNCIONAMENTO,29/04/2021,28/11/2006,180.0,4.0,1.0,4.0,NÃO,NÃO,SIM,REDECINE - RIO BANGU,13236,EM FUNCIONAMENTO,29/04/2021,,RUA FONSECA ,240.0,LOJA 145,BANGU,RIO DE JANEIRO,21820-020,RJ,NÃO,COMERCIAL,REDECINE - RIO CINEMATOGRAFICA S.A.,5348,07.524.011/0001-10,REGULAR,CINESYSTEM
5511,ILHA PLAZA 01,5002781.0,07.524.011/0003-81,EM FUNCIONAMENTO,29/04/2021,01/01/2010,279.0,4.0,1.0,4.0,NÃO,NÃO,SIM,REDECINE - RIO ILHA DO GOVERNADOR,16645,EM FUNCIONAMENTO,29/04/2021,,AV. MAESTRO PAULO E SILVA N° 400,400.0,PAV 6 PARTE G3,ILHA DO GOVERNADOR,RIO DE JANEIRO,21920-445,RJ,NÃO,COMERCIAL,REDECINE - RIO CINEMATOGRAFICA S.A.,5348,07.524.011/0001-10,REGULAR,CINESYSTEM
5512,ILHA PLAZA 02,5002782.0,07.524.011/0003-81,EM FUNCIONAMENTO,29/04/2021,01/01/2010,206.0,4.0,1.0,4.0,NÃO,NÃO,NÃO,REDECINE - RIO ILHA DO GOVERNADOR,16645,EM FUNCIONAMENTO,29/04/2021,,AV. MAESTRO PAULO E SILVA N° 400,400.0,PAV 6 PARTE G3,ILHA DO GOVERNADOR,RIO DE JANEIRO,21920-445,RJ,NÃO,COMERCIAL,REDECINE - RIO CINEMATOGRAFICA S.A.,5348,07.524.011/0001-10,REGULAR,CINESYSTEM
5513,ILHA PLAZA 03,5002780.0,07.524.011/0003-81,EM FUNCIONAMENTO,29/04/2021,01/01/2010,206.0,4.0,1.0,4.0,NÃO,NÃO,SIM,REDECINE - RIO ILHA DO GOVERNADOR,16645,EM FUNCIONAMENTO,29/04/2021,,AV. MAESTRO PAULO E SILVA N° 400,400.0,PAV 6 PARTE G3,ILHA DO GOVERNADOR,RIO DE JANEIRO,21920-445,RJ,NÃO,COMERCIAL,REDECINE - RIO CINEMATOGRAFICA S.A.,5348,07.524.011/0001-10,REGULAR,CINESYSTEM
5514,ILHA PLAZA 04,5002783.0,07.524.011/0003-81,EM FUNCIONAMENTO,31/03/2023,01/01/2010,276.0,4.0,1.0,4.0,NÃO,NÃO,SIM,REDECINE - RIO ILHA DO GOVERNADOR,16645,EM FUNCIONAMENTO,29/04/2021,,AV. MAESTRO PAULO E SILVA N° 400,400.0,PAV 6 PARTE G3,ILHA DO GOVERNADOR,RIO DE JANEIRO,21920-445,RJ,NÃO,COMERCIAL,REDECINE - RIO CINEMATOGRAFICA S.A.,5348,07.524.011/0001-10,REGULAR,CINESYSTEM
5515,CINESYSTEM VIA BRASIL 1,5003040.0,07.524.011/0004-62,EM FUNCIONAMENTO,29/04/2021,29/04/2011,147.0,3.0,1.0,3.0,NÃO,NÃO,SIM,REDECINE - RIO IRAJÁ,18721,EM FUNCIONAMENTO,29/04/2021,,RUA ITAPERA ,500.0,PISO 3°,IRAJÁ,RIO DE JANEIRO,21230-500,RJ,NÃO,COMERCIAL,REDECINE - RIO CINEMATOGRAFICA S.A.,5348,07.524.011/0001-10,REGULAR,CINESYSTEM
5516,CINESYSTEM VIA BRASIL 2,5003043.0,07.524.011/0004-62,EM FUNCIONAMENTO,29/04/2021,29/04/2011,196.0,4.0,1.0,4.0,SIM,NÃO,SIM,REDECINE - RIO IRAJÁ,18721,EM FUNCIONAMENTO,29/04/2021,,RUA ITAPERA ,500.0,PISO 3°,IRAJÁ,RIO DE JANEIRO,21230-500,RJ,NÃO,COMERCIAL,REDECINE - RIO CINEMATOGRAFICA S.A.,5348,07.524.011/0001-10,REGULAR,CINESYSTEM
5517,CINESYSTEM VIA BRASIL 3,5003042.0,07.524.011/0004-62,EM FUNCIONAMENTO,04/02/2023,29/04/2011,139.0,3.0,1.0,3.0,SIM,NÃO,SIM,REDECINE - RIO IRAJÁ,18721,EM FUNCIONAMENTO,29/04/2021,,RUA ITAPERA ,500.0,PISO 3°,IRAJÁ,RIO DE JANEIRO,21230-500,RJ,NÃO,COMERCIAL,REDECINE - RIO CINEMATOGRAFICA S.A.,5348,07.524.011/0001-10,REGULAR,CINESYSTEM
5518,CINESYSTEM VIA BRASIL 4,5003041.0,07.524.011/0004-62,EM FUNCIONAMENTO,13/05/2021,29/04/2011,239.0,6.0,1.0,6.0,SIM,NÃO,SIM,REDECINE - RIO IRAJÁ,18721,EM FUNCIONAMENTO,29/04/2021,,RUA ITAPERA ,500.0,PISO 3°,IRAJÁ,RIO DE JANEIRO,21230-500,RJ,NÃO,COMERCIAL,REDECINE - RIO CINEMATOGRAFICA S.A.,5348,07.524.011/0001-10,REGULAR,CINESYSTEM
5519,CINESYSTEM VIA BRASIL 5,5003039.0,07.524.011/0004-62,EM FUNCIONAMENTO,29/04/2021,29/04/2011,218.0,4.0,1.0,4.0,NÃO,NÃO,SIM,REDECINE - RIO IRAJÁ,18721,EM FUNCIONAMENTO,29/04/2021,,RUA ITAPERA ,500.0,PISO 3°,IRAJÁ,RIO DE JANEIRO,21230-500,RJ,NÃO,COMERCIAL,REDECINE - RIO CINEMATOGRAFICA S.A.,5348,07.524.011/0001-10,REGULAR,CINESYSTEM
5520,CINESYSTEM VIA BRASIL 6,5003044.0,07.524.011/0004-62,EM FUNCIONAMENTO,29/04/2021,29/04/2011,188.0,4.0,1.0,4.0,NÃO,NÃO,SIM,REDECINE - RIO IRAJÁ,18721,EM FUNCIONAMENTO,29/04/2021,,RUA ITAPERA ,500.0,PISO 3°,IRAJÁ,RIO DE JANEIRO,21230-500,RJ,NÃO,COMERCIAL,REDECINE - RIO CINEMATOGRAFICA S.A.,5348,07.524.011/0001-10,REGULAR,CINESYSTEM
5521,CINESYSTEM PARQUE SHOPPING SULACAP SALA 08,5006102.0,07.524.011/0006-24,EM FUNCIONAMENTO,22/06/2023,30/08/2018,57.0,2.0,0.0,1.0,NÃO,NÃO,SIM,REDECINE - RIO PQ SHOP SULACAP,28835,EM FUNCIONAMENTO,29/04/2021,,AV MARECHAL FONTENELLE,3545.0,LUC 246 PQ. SHO,CAMPO DOS AFONSOS,RIO DE JANEIRO,21740-001,RJ,NÃO,COMERCIAL,REDECINE - RIO CINEMATOGRAFICA S.A.,5348,07.524.011/0001-10,REGULAR,CINESYSTEM
5522,CINESYSTEM PARQUE SHOPPING SULACAP SALA 09,5006103.0,07.524.011/0006-24,EM FUNCIONAMENTO,27/06/2024,30/08/2018,57.0,2.0,0.0,1.0,NÃO,NÃO,SIM,REDECINE - RIO PQ SHOP SULACAP,28835,EM FUNCIONAMENTO,29/04/2021,,AV MARECHAL FONTENELLE,3545.0,LUC 246 PQ. SHO,CAMPO DOS AFONSOS,RIO DE JANEIRO,21740-001,RJ,NÃO,COMERCIAL,REDECINE - RIO CINEMATOGRAFICA S.A.,5348,07.524.011/0001-10,REGULAR,CINESYSTEM
5523,CINESYSTEM S SULACAP 01,5005004.0,07.524.011/0006-24,EM FUNCIONAMENTO,29/04/2021,11/12/2014,265.0,4.0,1.0,4.0,SIM,NÃO,SIM,REDECINE - RIO PQ SHOP SULACAP,28835,EM FUNCIONAMENTO,29/04/2021,,AV MARECHAL FONTENELLE,3545.0,LUC 246 PQ. SHO,CAMPO DOS AFONSOS,RIO DE JANEIRO,21740-001,RJ,NÃO,COMERCIAL,REDECINE - RIO CINEMATOGRAFICA S.A.,5348,07.524.011/0001-10,REGULAR,CINESYSTEM
5524,CINESYSTEM S SULACAP 02,5005005.0,07.524.011/0006-24,EM FUNCIONAMENTO,29/04/2021,11/12/2014,168.0,3.0,1.0,2.0,SIM,NÃO,SIM,REDECINE - RIO PQ SHOP SULACAP,28835,EM FUNCIONAMENTO,29/04/2021,,AV MARECHAL FONTENELLE,3545.0,LUC 246 PQ. SHO,CAMPO DOS AFONSOS,RIO DE JANEIRO,21740-001,RJ,NÃO,COMERCIAL,REDECINE - RIO CINEMATOGRAFICA S.A.,5348,07.524.011/0001-10,REGULAR,CINESYSTEM
5525,CINESYSTEM S SULACAP 03,5005006.0,07.524.011/0006-24,EM FUNCIONAMENTO,29/04/2021,11/12/2014,168.0,3.0,1.0,2.0,SIM,NÃO,SIM,REDECINE - RIO PQ SHOP SULACAP,28835,EM FUNCIONAMENTO,29/04/2021,,AV MARECHAL FONTENELLE,3545.0,LUC 246 PQ. SHO,CAMPO DOS AFONSOS,RIO DE JANEIRO,21740-001,RJ,NÃO,COMERCIAL,REDECINE - RIO CINEMATOGRAFICA S.A.,5348,07.524.011/0001-10,REGULAR,CINESYSTEM
5526,CINESYSTEM S SULACAP 04,5005007.0,07.524.011/0006-24,EM FUNCIONAMENTO,29/04/2021,11/12/2014,157.0,3.0,1.0,2.0,SIM,NÃO,SIM,REDECINE - RIO PQ SHOP SULACAP,28835,EM FUNCIONAMENTO,29/04/2021,,AV MARECHAL FONTENELLE,3545.0,LUC 246 PQ. SHO,CAMPO DOS AFONSOS,RIO DE JANEIRO,21740-001,RJ,NÃO,COMERCIAL,REDECINE - RIO CINEMATOGRAFICA S.A.,5348,07.524.011/0001-10,REGULAR,CINESYSTEM
5527,CINESYSTEM S SULACAP 05,5005008.0,07.524.011/0006-24,EM FUNCIONAMENTO,29/04/2021,11/12/2014,157.0,3.0,1.0,2.0,SIM,NÃO,SIM,REDECINE - RIO PQ SHOP SULACAP,28835,EM FUNCIONAMENTO,29/04/2021,,AV MARECHAL FONTENELLE,3545.0,LUC 246 PQ. SHO,CAMPO DOS AFONSOS,RIO DE JANEIRO,21740-001,RJ,NÃO,COMERCIAL,REDECINE - RIO CINEMATOGRAFICA S.A.,5348,07.524.011/0001-10,REGULAR,CINESYSTEM
5528,CINESYSTEM S SULACAP 06,5005009.0,07.524.011/0006-24,EM FUNCIONAMENTO,29/04/2021,11/12/2014,112.0,2.0,1.0,2.0,SIM,NÃO,SIM,REDECINE - RIO PQ SHOP SULACAP,28835,EM FUNCIONAMENTO,29/04/2021,,AV MARECHAL FONTENELLE,3545.0,LUC 246 PQ. SHO,CAMPO DOS AFONSOS,RIO DE JANEIRO,21740-001,RJ,NÃO,COMERCIAL,REDECINE - RIO CINEMATOGRAFICA S.A.,5348,07.524.011/0001-10,REGULAR,CINESYSTEM
5529,CINESYSTEM S SULACAP 07,5005010.0,07.524.011/0006-24,EM FUNCIONAMENTO,28/06/2021,11/12/2014,99.0,2.0,1.0,1.0,SIM,NÃO,SIM,REDECINE - RIO PQ SHOP SULACAP,28835,EM FUNCIONAMENTO,29/04/2021,,AV MARECHAL FONTENELLE,3545.0,LUC 246 PQ. SHO,CAMPO DOS AFONSOS,RIO DE JANEIRO,21740-001,RJ,NÃO,COMERCIAL,REDECINE - RIO CINEMATOGRAFICA S.A.,5348,07.524.011/0001-10,REGULAR,CINESYSTEM
5530,CINESYSTEM CINEMAS 1,5001650.0,07.524.011/0001-10,EM FUNCIONAMENTO,29/04/2021,29/07/2005,289.0,2.0,1.0,4.0,NÃO,NÃO,SIM,REDECINE - RIO RECREIO DOS BANDEIRANTES,6691,EM FUNCIONAMENTO,29/04/2021,HTTP://CINESYSTEM.COM.BR,AV DAS AMÉRICAS ,19019.0,LOJA 204B,RECREIO DO BANDEIRANTES,RIO DE JANEIRO,22640-101,RJ,NÃO,COMERCIAL,REDECINE - RIO CINEMATOGRAFICA S.A.,5348,07.524.011/0001-10,REGULAR,CINESYSTEM
5531,CINESYSTEM CINEMAS 2,5001651.0,07.524.011/0001-10,EM FUNCIONAMENTO,29/04/2021,29/07/2005,289.0,2.0,1.0,4.0,NÃO,NÃO,SIM,REDECINE - RIO RECREIO DOS BANDEIRANTES,6691,EM FUNCIONAMENTO,29/04/2021,HTTP://CINESYSTEM.COM.BR,AV DAS AMÉRICAS ,19019.0,LOJA 204B,RECREIO DO BANDEIRANTES,RIO DE JANEIRO,22640-101,RJ,NÃO,COMERCIAL,REDECINE - RIO CINEMATOGRAFICA S.A.,5348,07.524.011/0001-10,REGULAR,CINESYSTEM
5532,CINESYSTEM CINEMAS 3,5001652.0,07.524.011/0001-10,EM FUNCIONAMENTO,29/04/2021,29/07/2005,213.0,2.0,1.0,4.0,SIM,NÃO,SIM,REDECINE - RIO RECREIO DOS BANDEIRANTES,6691,EM FUNCIONAMENTO,29/04/2021,HTTP://CINESYSTEM.COM.BR,AV DAS AMÉRICAS ,19019.0,LOJA 204B,RECREIO DO BANDEIRANTES,RIO DE JANEIRO,22640-101,RJ,NÃO,COMERCIAL,REDECINE - RIO CINEMATOGRAFICA S.A.,5348,07.524.011/0001-10,REGULAR,CINESYSTEM
5533,CINESYSTEM CINEMAS 4,5001653.0,07.524.011/0001-10,EM FUNCIONAMENTO,01/03/2024,29/07/2005,200.0,4.0,1.0,4.0,SIM,NÃO,SIM,REDECINE - RIO RECREIO DOS BANDEIRANTES,6691,EM FUNCIONAMENTO,29/04/2021,HTTP://CINESYSTEM.COM.BR,AV DAS AMÉRICAS ,19019.0,LOJA 204B,RECREIO DO BANDEIRANTES,RIO DE JANEIRO,22640-101,RJ,NÃO,COMERCIAL,REDECINE - RIO CINEMATOGRAFICA S.A.,5348,07.524.011/0001-10,REGULAR,CINESYSTEM
5846,NEW YORK CITY CENTER - SALA 02,5000766.0,01.289.530/0005-98,EM FUNCIONAMENTO,08/04/2021,04/11/1999,227.0,5.0,3.0,2.0,SIM,NÃO,SIM,UCI BRASIL - NEW YORK,2620,EM FUNCIONAMENTO,08/04/2021,HTTP://UCICINEMAS.COM.BR,AV. DAS AMÉRICAS,5000.0,LOJA 301 ,BARRA DA TIJUCA ,RIO DE JANEIRO,22640-102,RJ,NÃO,COMERCIAL,UNITED CINEMAS INTERNATIONAL BRASIL LTDA.,749,01.289.530/0001-64,REGULAR,UCI
5847,NEW YORK CITY CENTER - SALA 03,5000767.0,01.289.530/0005-98,EM FUNCIONAMENTO,08/04/2021,04/11/1999,365.0,8.0,5.0,3.0,SIM,NÃO,SIM,UCI BRASIL - NEW YORK,2620,EM FUNCIONAMENTO,08/04/2021,HTTP://UCICINEMAS.COM.BR,AV. DAS AMÉRICAS,5000.0,LOJA 301 ,BARRA DA TIJUCA ,RIO DE JANEIRO,22640-102,RJ,NÃO,COMERCIAL,UNITED CINEMAS INTERNATIONAL BRASIL LTDA.,749,01.289.530/0001-64,REGULAR,UCI
5848,NEW YORK CITY CENTER - SALA 04,5000768.0,01.289.530/0005-98,EM FUNCIONAMENTO,08/04/2021,04/11/1999,348.0,9.0,7.0,4.0,SIM,NÃO,SIM,UCI BRASIL - NEW YORK,2620,EM FUNCIONAMENTO,08/04/2021,HTTP://UCICINEMAS.COM.BR,AV. DAS AMÉRICAS,5000.0,LOJA 301 ,BARRA DA TIJUCA ,RIO DE JANEIRO,22640-102,RJ,NÃO,COMERCIAL,UNITED CINEMAS INTERNATIONAL BRASIL LTDA.,749,01.289.530/0001-64,REGULAR,UCI
5849,NEW YORK CITY CENTER - SALA 05,5000769.0,01.289.530/0005-98,EM FUNCIONAMENTO,08/04/2021,04/11/1999,288.0,6.0,3.0,3.0,SIM,NÃO,SIM,UCI BRASIL - NEW YORK,2620,EM FUNCIONAMENTO,08/04/2021,HTTP://UCICINEMAS.COM.BR,AV. DAS AMÉRICAS,5000.0,LOJA 301 ,BARRA DA TIJUCA ,RIO DE JANEIRO,22640-102,RJ,NÃO,COMERCIAL,UNITED CINEMAS INTERNATIONAL BRASIL LTDA.,749,01.289.530/0001-64,REGULAR,UCI
5851,NEW YORK CITY CENTER - SALA 07,5000771.0,01.289.530/0005-98,EM FUNCIONAMENTO,08/04/2021,04/11/1999,158.0,4.0,2.0,2.0,SIM,NÃO,SIM,UCI BRASIL - NEW YORK,2620,EM FUNCIONAMENTO,08/04/2021,HTTP://UCICINEMAS.COM.BR,AV. DAS AMÉRICAS,5000.0,LOJA 301 ,BARRA DA TIJUCA ,RIO DE JANEIRO,22640-102,RJ,NÃO,COMERCIAL,UNITED CINEMAS INTERNATIONAL BRASIL LTDA.,749,01.289.530/0001-64,REGULAR,UCI
5852,NEW YORK CITY CENTER - SALA 08,5000772.0,01.289.530/0005-98,EM FUNCIONAMENTO,08/04/2021,04/11/1999,124.0,3.0,3.0,1.0,SIM,NÃO,SIM,UCI BRASIL - NEW YORK,2620,EM FUNCIONAMENTO,08/04/2021,HTTP://UCICINEMAS.COM.BR,AV. DAS AMÉRICAS,5000.0,LOJA 301 ,BARRA DA TIJUCA ,RIO DE JANEIRO,22640-102,RJ,NÃO,COMERCIAL,UNITED CINEMAS INTERNATIONAL BRASIL LTDA.,749,01.289.530/0001-64,REGULAR,UCI
5853,NEW YORK CITY CENTER - SALA 09,5000773.0,01.289.530/0005-98,EM FUNCIONAMENTO,08/04/2021,04/11/1999,63.0,2.0,2.0,1.0,SIM,NÃO,SIM,UCI BRASIL - NEW YORK,2620,EM FUNCIONAMENTO,08/04/2021,HTTP://UCICINEMAS.COM.BR,AV. DAS AMÉRICAS,5000.0,LOJA 301 ,BARRA DA TIJUCA ,RIO DE JANEIRO,22640-102,RJ,NÃO,COMERCIAL,UNITED CINEMAS INTERNATIONAL BRASIL LTDA.,749,01.289.530/0001-64,REGULAR,UCI
5855,NEW YORK CITY CENTER - SALA 11,5000775.0,01.289.530/0005-98,EM FUNCIONAMENTO,08/04/2021,04/11/1999,112.0,3.0,3.0,0.0,SIM,NÃO,SIM,UCI BRASIL - NEW YORK,2620,EM FUNCIONAMENTO,08/04/2021,HTTP://UCICINEMAS.COM.BR,AV. DAS AMÉRICAS,5000.0,LOJA 301 ,BARRA DA TIJUCA ,RIO DE JANEIRO,22640-102,RJ,NÃO,COMERCIAL,UNITED CINEMAS INTERNATIONAL BRASIL LTDA.,749,01.289.530/0001-64,REGULAR,UCI
5856,NEW YORK CITY CENTER - SALA 12,5000776.0,01.289.530/0005-98,EM FUNCIONAMENTO,08/04/2021,04/11/1999,242.0,5.0,2.0,3.0,SIM,NÃO,SIM,UCI BRASIL - NEW YORK,2620,EM FUNCIONAMENTO,08/04/2021,HTTP://UCICINEMAS.COM.BR,AV. DAS AMÉRICAS,5000.0,LOJA 301 ,BARRA DA TIJUCA ,RIO DE JANEIRO,22640-102,RJ,NÃO,COMERCIAL,UNITED CINEMAS INTERNATIONAL BRASIL LTDA.,749,01.289.530/0001-64,REGULAR,UCI
5857,NEW YORK CITY CENTER - SALA 13,5000777.0,01.289.530/0005-98,EM FUNCIONAMENTO,08/04/2021,04/11/1999,377.0,8.0,8.0,4.0,SIM,NÃO,SIM,UCI BRASIL - NEW YORK,2620,EM FUNCIONAMENTO,08/04/2021,HTTP://UCICINEMAS.COM.BR,AV. DAS AMÉRICAS,5000.0,LOJA 301 ,BARRA DA TIJUCA ,RIO DE JANEIRO,22640-102,RJ,NÃO,COMERCIAL,UNITED CINEMAS INTERNATIONAL BRASIL LTDA.,749,01.289.530/0001-64,REGULAR,UCI
5858,NEW YORK CITY CENTER - SALA 14,5000778.0,01.289.530/0005-98,EM FUNCIONAMENTO,08/04/2021,04/11/1999,239.0,5.0,2.0,3.0,SIM,NÃO,SIM,UCI BRASIL - NEW YORK,2620,EM FUNCIONAMENTO,08/04/2021,HTTP://UCICINEMAS.COM.BR,AV. DAS AMÉRICAS,5000.0,LOJA 301 ,BARRA DA TIJUCA ,RIO DE JANEIRO,22640-102,RJ,NÃO,COMERCIAL,UNITED CINEMAS INTERNATIONAL BRASIL LTDA.,749,01.289.530/0001-64,REGULAR,UCI
5859,NEW YORK CITY CENTER - SALA 15,5000779.0,01.289.530/0005-98,EM FUNCIONAMENTO,08/04/2021,04/11/1999,204.0,4.0,3.0,2.0,SIM,NÃO,SIM,UCI BRASIL - NEW YORK,2620,EM FUNCIONAMENTO,08/04/2021,HTTP://UCICINEMAS.COM.BR,AV. DAS AMÉRICAS,5000.0,LOJA 301 ,BARRA DA TIJUCA ,RIO DE JANEIRO,22640-102,RJ,NÃO,COMERCIAL,UNITED CINEMAS INTERNATIONAL BRASIL LTDA.,749,01.289.530/0001-64,REGULAR,UCI
5861,NEW YORK CITY CENTER - SALA 17,5000781.0,01.289.530/0005-98,EM FUNCIONAMENTO,08/04/2021,04/11/1999,282.0,6.0,3.0,3.0,SIM,NÃO,SIM,UCI BRASIL - NEW YORK,2620,EM FUNCIONAMENTO,08/04/2021,HTTP://UCICINEMAS.COM.BR,AV. DAS AMÉRICAS,5000.0,LOJA 301 ,BARRA DA TIJUCA ,RIO DE JANEIRO,22640-102,RJ,NÃO,COMERCIAL,UNITED CINEMAS INTERNATIONAL BRASIL LTDA.,749,01.289.530/0001-64,REGULAR,UCI
5862,NEW YORK CITY CENTER - SALA 18,5000782.0,01.289.530/0005-98,EM FUNCIONAMENTO,27/06/2024,04/11/1999,268.0,6.0,3.0,3.0,SIM,NÃO,SIM,UCI BRASIL - NEW YORK,2620,EM FUNCIONAMENTO,08/04/2021,HTTP://UCICINEMAS.COM.BR,AV. DAS AMÉRICAS,5000.0,LOJA 301 ,BARRA DA TIJUCA ,RIO DE JANEIRO,22640-102,RJ,NÃO,COMERCIAL,UNITED CINEMAS INTERNATIONAL BRASIL LTDA.,749,01.289.530/0001-64,REGULAR,UCI
5871,UCI BRASIL - PARK CG - SALA 06,5003763.0,01.289.530/0011-36,EM FUNCIONAMENTO,08/04/2021,01/02/2013,125.0,4.0,2.0,1.0,SIM,NÃO,SIM,UCI BRASIL - PARK SHOPPING CAMPO GRANDE,23929,EM FUNCIONAMENTO,08/04/2021,WWW.UCICINEMAS.COM.BR,ESTRADA DO MONTEIRO,1200.0,LOJA 109,CAMPO GRANDE,RIO DE JANEIRO,23045-830,RJ,NÃO,COMERCIAL,UNITED CINEMAS INTERNATIONAL BRASIL LTDA.,749,01.289.530/0001-64,REGULAR,UCI
