,titulo,titulo_original,ano,duracao,diretor,roteirista,elenco,nota,num_votos,sinopse,genero,verba,receita
319,A Conquista do Oeste,How the West Was Won,1962,164,"['John Ford', 'Henry Hathaway', 'George Marshall']","['James R. Webb', 'Gerald Devriès', 'Christian Dura']","['James Stewart', 'John Wayne', 'Gregory Peck']",7.1,24000.0,"Uma dinastia familiar que abrange várias décadas de expansão para o oeste no século XIX, incluindo a Corrida do Ouro, a Guerra Civil e a construção de ferrovias.","['Aventura', 'Guerra', 'Faroeste']",15000000,76729
320,O Eclipse,L'eclisse,1962,126,['Michelangelo Antonioni'],"['Michelangelo Antonioni', 'Tonino Guerra', 'Elio Bartolini']","['Monica Vitti', 'Alain Delon', 'Francisco Rabal']",7.7,23000.0,"Uma jovem mulher conhece um jovem vital, mas sua relação amorosa está condenada ao fracasso por causa da natureza materialista do homem.","['Drama', 'Romance']",0,0
321,O Milagre de Anne Sullivan,The Miracle Worker,1962,106,['Arthur Penn'],"['William Gibson', 'Helen Keller']","['Anne Bancroft', 'Patty Duke', 'Victor Jory']",8.1,21000.0,A história da luta de Anne Sullivan para ensinar a cega e surda Helen Keller a se comunicar.,"['Biografia', 'Drama']",500000,4139
322,O Homem de Alcatraz,Birdman of Alcatraz,1962,147,['John Frankenheimer'],"['Guy Trosper', 'Thomas E. Gaddis']","['Burt Lancaster', 'Karl Malden', 'Thelma Ritter']",7.8,20000.0,"Um assassino mal-humorado e condenado, mantido em isolamento permanente, se redime quando se torna um renomado especialista em pássaros.","['Biografia', 'Policial', 'Drama']",0,0
323,Vendedor de Ilusões,The Music Man,1962,151,['Morton DaCosta'],"['Meredith Willson', 'Franklin Lacey', 'Marion Hargrove']","['Robert Preston', 'Shirley Jones', 'Buddy Hackett']",7.7,20000.0,Traveling con artist Harold Hill targets the naïve residents of a small town in 1910s Iowa by posing as a boys' band leader to raise money before he can skip town.,"['Comédia', 'Família', 'Musical', 'Romance']",0,0
324,O Grande Motim,Mutiny on the Bounty,1962,178,"['Lewis Milestone', 'Carol Reed', 'George Seaton']","['Charles Lederer', 'Charles Nordhoff', 'James Norman Hall']","['Marlon Brando', 'Trevor Howard', 'Richard Harris']",7.2,18000.0,"Em 1787, o navio britânico Bounty deixa Portsmouth para trazer uma carga de fruta-pão do Taiti, mas as condições selvagens a bordo impostas pelo capitão Bligh desencadeiam um motim liderado pelo oficial Fletcher Christian.","['Aventura', 'Drama', 'História', 'Romance']",0,0
325,Fugindo do Inferno,The Great Escape,1963,172,['John Sturges'],"['Paul Brickhill', 'James Clavell', 'W.R. Burnett']","['Steve McQueen', 'James Garner', 'Richard Attenborough']",8.2,264000.0,Prisioneiros de guerra aliados planejam uma fuga maciça de um campo alemão durante a Segunda Guerra Mundial.,"['Aventura', 'Drama', 'Suspense', 'Guerra']",4000000,230637
326,Os Pássaros,The Birds,1963,119,['Alfred Hitchcock'],"['Daphne Du Maurier', 'Evan Hunter', 'Jeanne Saintenoy']","['Rod Taylor', 'Tippi Hedren', 'Jessica Tandy']",7.6,210000.0,Um milionário da alta sociedade de San Francisco persegue a uma possível namorada em uma pequena cidade de California.,"['Drama', 'Terror', 'Mistério', 'Romance']",2500000,54531
327,Moscou Contra 007,From Russia with Love,1963,115,['Terence Young'],"['Richard Maibaum', 'Johanna Harwood', 'Ian Fleming']","['Sean Connery', 'Robert Shaw', 'Lotte Lenya']",7.3,149000.0,"James Bond cai voluntariamente em um plano de assassinato envolvendo uma ingênua beldade russa, a fim de recuperar um dispositivo de criptografia soviético que foi roubado pela organização Spectre.","['Ação', 'Aventura', 'Suspense']",2000000,24811445
328,8½,8½,1963,138,['Federico Fellini'],"['Federico Fellini', 'Ennio Flaiano', 'Tullio Pinelli']","['Marcello Mastroianni', 'Anouk Aimée', 'Claudia Cardinale']",8.0,127000.0,Um diretor de cinema atormentado se retira para suas memórias e fantasias.,['Drama'],0,0
329,A Espada Era a Lei,The Sword in the Stone,1963,79,"['Wolfgang Reitherman', 'Clyde Geronimi', 'David Hand']","['Bill Peet', 'T.H. White']","['Rickie Sorensen', 'Sebastian Cabot', 'Karl Swenson']",7.1,109000.0,"Um pobre garoto chamado Arthur aprende o poder do amor, bondade, conhecimento e coragem com a ajuda de um mágico chamado Merlin, que o ajuda a se tornar um dos reis mais amados da história da Inglaterra.","['Animação', 'Aventura', 'Comédia', 'Família', 'Fantasia', 'Musical']",3000000,12000000
330,Charada,Charade,1963,113,['Stanley Donen'],"['Peter Stone', 'Marc Behm', 'Jeanne Saintenoy']","['Cary Grant', 'Audrey Hepburn', 'Walter Matthau']",7.8,88000.0,Uma mulher é perseguida por vários homens que querem uma fortuna que seu marido assassinado roubou. Em quem ela pode confiar?,"['Comédia', 'Mistério', 'Romance', 'Suspense']",3000000,175119
331,A Pantera Cor-de-Rosa,The Pink Panther,1963,115,['Blake Edwards'],"['Maurice Richlin', 'Blake Edwards']","['David Niven', 'Peter Sellers', 'Robert Wagner']",7.0,58000.0,"O desastrado Inspetor Clouseau viaja até Roma para capturar um famoso ladrão de joias conhecido como ""O Fantasma"" antes que ele realize seu roubo mais ousado até então: o diamante inestimável de uma princesa com uma pequena imperfeição, conhecido como ""A Pantera Rosa"".","['Comédia', 'Policial', 'Romance']",3000000,10878166
332,Céu e Inferno,Tengoku to jigoku,1963,143,['Akira Kurosawa'],"['Hideo Oguni', 'Ryûzô Kikushima', 'Eijirô Hisaita']","['Toshirô Mifune', 'Yutaka Sada', 'Tatsuya Nakadai']",8.4,57000.0,Um executivo de uma empresa de calçados torna-se vítima de extorsão quando o filho de seu motorista é sequestrado e retido para resgate.,"['Policial', 'Drama', 'Mistério', 'Suspense']",0,0
333,Deu a Louca no Mundo,"It's a Mad, Mad, Mad, Mad World",1963,210,['Stanley Kramer'],"['William Rose', 'Tania Rose']","['Spencer Tracy', 'Milton Berle', 'Ethel Merman']",7.5,47000.0,Um grupo de motoristas descobre o saque oculto de um ladrão e competem entre si em todo o país para chegar lá.,"['Ação', 'Aventura', 'Comédia', 'Policial']",9400000,46333064
334,Desafio do Além,The Haunting,1963,112,['Robert Wise'],"['Nelson Gidding', 'Shirley Jackson']","['Julie Harris', 'Claire Bloom', 'Richard Johnson']",7.4,44000.0,"Um cientista que investiga o paranormal convida duas mulheres para uma mansão assombrada. Como resultado, uma das participantes logo começa a perder a cabeça.",['Terror'],1400000,847
335,Cleópatra,Cleopatra,1963,192,"['Joseph L. Mankiewicz', 'Rouben Mamoulian']","['Joseph L. Mankiewicz', 'Ranald MacDougall', 'Sidney Buchman']","['Elizabeth Taylor', 'Richard Burton', 'Rex Harrison']",7.0,39000.0,A rainha Cleópatra do Egito experimenta tanto o triunfo quanto a tragédia ao tentar resistir às ambições imperiais de Roma.,"['Biografia', 'Drama', 'História', 'Romance']",44000000,57778494
336,O Desprezo,Le mépris,1963,103,['Jean-Luc Godard'],"['Alberto Moravia', 'Jean-Luc Godard']","['Brigitte Bardot', 'Jack Palance', 'Michel Piccoli']",7.4,37000.0,O casamento do roteirista Paul Javal com sua esposa Camille se desintegra durante a produção do filme enquanto ela passa tempo com o produtor. Conflitos estratificados ocorrem entre arte e negócios.,"['Drama', 'Romance']",900000,1174678
337,Jasão e o Velo de Ouro,Jason and the Argonauts,1963,104,['Don Chaffey'],"['Jan Read', 'Beverley Cross', 'Apollonios Rhodios']","['Todd Armstrong', 'Nancy Kovack', 'Gary Raymond']",7.3,32000.0,O lendário herói grego lidera uma equipe de intrépidos aventureiros em uma busca perigosa pelo velo de Ouro.,"['Ação', 'Aventura', 'Família', 'Fantasia']",2500000,479
338,O Leopardo,Il gattopardo,1963,186,['Luchino Visconti'],"['Giuseppe Tomasi di Lampedusa', ""Suso Cecchi D'Amico"", 'Pasquale Festa Campanile']","['Burt Lancaster', 'Alain Delon', 'Claudia Cardinale']",7.9,30000.0,"O príncipe de Salina, um nobre aristocrata de integridade impecável, tenta preservar sua família e classe em meio das tumultuosas convulsões sociais da Sicília em 1860.","['Drama', 'História']",0,0
339,Luz de Inverno,Nattvardsgästerna,1963,81,['Ingmar Bergman'],['Ingmar Bergman'],"['Ingrid Thulin', 'Gunnar Björnstrand', 'Gunnel Lindblom']",8.0,28000.0,A small-town priest struggles with his faith.,['Drama'],0,0
340,O Indomado,Hud,1963,112,['Martin Ritt'],"['Irving Ravetch', 'Harriet Frank Jr.', 'Larry McMurtry']","['Paul Newman', 'Melvyn Douglas', 'Patricia Neal']",7.8,24000.0,"O rebelde Hud Bannon (Paul Newman) está sempre em conflito com o pai, um respeitável e velho fazendeiro. Patricia Neal e Melvyn Douglas coestrelam em papéis premiados com o Oscar®.","['Drama', 'Faroeste']",0,0
341,Irma la Douce,Irma la Douce,1963,147,['Billy Wilder'],"['Alexandre Breffort', 'Billy Wilder', 'I.A.L. Diamond']","['Jack Lemmon', 'Shirley MacLaine', 'Lou Jacobi']",7.3,22000.0,"When a policeman falls in love with a prostitute, he doesn't want her to see other men, so he creates an alter-ego who will be her only customer.","['Comédia', 'Romance']",5000000,52
342,O Silêncio,Tystnaden,1963,96,['Ingmar Bergman'],['Ingmar Bergman'],"['Ingrid Thulin', 'Gunnel Lindblom', 'Birger Malmsten']",7.7,22000.0,"Duas irmãs afastadas, Ester e Anna, e o filho de 10 anos de Anna viajam para a Europa Central à beira da guerra. Ester fica gravemente doente e os três se mudam para um hotel em uma pequena cidade chamada Timoka.",['Drama'],0,0
343,O Senhor das Moscas,Lord of the Flies,1963,92,['Peter Brook'],"['William Golding', 'Peter Brook']","['James Aubrey', 'Tom Chapin', 'Hugh Edwards']",6.9,21000.0,Crianças em idade escolar abandonadas em uma ilha do Pacífico criam sua própria civilização selvagem.,"['Aventura', 'Drama', 'Suspense']",0,0
344,O Professor Aloprado,The Nutty Professor,1963,107,['Jerry Lewis'],"['Jerry Lewis', 'Bill Richmond']","['Jerry Lewis', 'Stella Stevens', 'Del Moore']",6.6,20000.0,Jerry Lewis é um tímido professor de química que descobre uma poção mágica capaz de transformá-lo em um Don Juan.,"['Comédia', 'Romance', 'Ficção científica']",0,0
345,Quando um Homem É Homem,McLintock!,1963,126,['Andrew V. McLaglen'],['James Edward Grant'],"['John Wayne', ""Maureen O'Hara"", 'Patrick Wayne']",7.1,17000.0,O Ocidente fica selvagem e engraçado quando o gado (John Wayne) não pode 'domesticar' sua esposa afastada (Maureen O'Hara).,"['Comédia', 'Faroeste']",0,0
346,As Aventuras de Tom Jones,Tom Jones,1963,129,['Tony Richardson'],"['John Osborne', 'Henry Fielding']","['Albert Finney', 'Susannah York', 'George Devine']",6.4,15000.0,The romantic and chivalrous adventures of adopted bastard Tom Jones in 18th-century England.,"['Aventura', 'Comédia', 'História', 'Romance']",0,0
347,As Três Máscaras do Terror,I tre volti della paura,1963,92,['Mario Bava'],"['Anton Chekhov', 'Aleksei Tolstoy', 'Guy de Maupassant']","['Michèle Mercier', 'Lidia Alfonsi', 'Boris Karloff']",7.0,15000.0,"Boris Karloff hosts a trio of horror stories about a stalked call girl, a vampire-like monster who preys on his family, and a nurse who is haunted by her ring's rightful owner.",['Terror'],0,0
348,O Criado,The Servant,1963,116,['Joseph Losey'],"['Harold Pinter', 'Robin Maugham']","['Dirk Bogarde', 'Sarah Miles', 'Wendy Craig']",7.8,15000.0,"Tony da classe alta contrata o criado Hugo Barrett, que acaba tendo uma agenda escondida.",['Drama'],0,0
349,O Corvo,The Raven,1963,86,['Roger Corman'],"['Edgar Allan Poe', 'Richard Matheson']","['Vincent Price', 'Peter Lorre', 'Boris Karloff']",6.5,14000.0,"A magician, who has been turned into a raven, turns to a former sorcerer for help.","['Comédia', 'Drama', 'Fantasia', 'Terror']",200000,62
350,Dr. Fantástico,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,95,['Stanley Kubrick'],"['Stanley Kubrick', 'Terry Southern', 'Peter George']","['Peter Sellers', 'George C. Scott', 'Sterling Hayden']",8.3,530000.0,Um general alienado provoca um potencial holocausto nuclear que uma sala de guerra cheia de políticos e generais tenta freneticamente parar.,"['Comédia', 'Guerra']",1800000,9631984
351,Por Um Punhado de Dólares,Per un pugno di dollari,1964,99,['Sergio Leone'],"['Adriano Bolzoni', 'Mark Lowell', 'Víctor Andrés Catena']","['Clint Eastwood', 'Gian Maria Volontè', 'Marianne Koch']",7.9,239000.0,"Um atirador errante enfrenta duas famílias rivais em uma cidade devastada pela ganância, orgulho e vingança.","['Ação', 'Drama', 'Faroeste']",200000,14516248
352,007 Contra Goldfinger,Goldfinger,1964,110,['Guy Hamilton'],"['Richard Maibaum', 'Paul Dehn', 'Ian Fleming']","['Sean Connery', 'Gert Fröbe', 'Honor Blackman']",7.7,207000.0,"O agente 007 vê-se perante um vilão maníaco, decidido a destruir todo o ouro existente em Fort Knox e colocar em risco a economia do mundo inteiro.","['Ação', 'Aventura', 'Suspense']",3000000,51219592
353,Mary Poppins,Mary Poppins,1964,139,['Robert Stevenson'],"['Bill Walsh', 'Don DaGradi', 'P.L. Travers']","['Julie Andrews', 'Dick Van Dyke', 'David Tomlinson']",7.8,190000.0,"Na virada do século, uma babá mágica usa música e aventuras para ajudar duas crianças um pouco descuidadas a se aproximarem de seu pai.","['Comédia', 'Família', 'Fantasia', 'Musical']",6000000,103125597
354,Minha Bela Dama,My Fair Lady,1964,170,['George Cukor'],"['Alan Jay Lerner', 'George Bernard Shaw']","['Audrey Hepburn', 'Rex Harrison', 'Stanley Holloway']",7.7,103000.0,Um professor de fonética aceita a aposta de que ele pode transformar uma garota para ela ter sucesso na alta sociedade.,"['Drama', 'Família', 'Musical', 'Romance']",17000000,72684726
355,"Marnie, Confissões de uma Ladra",Marnie,1964,130,['Alfred Hitchcock'],"['Winston Graham', 'Jay Presson Allen', 'Pierre-François Caillé']","['Tippi Hedren', 'Sean Connery', 'Martin Gabel']",7.1,55000.0,"Mark se casa com Marnie, embora ela seja uma ladra habitual e tenha sérios problemas psicológicos, e tenta ajudá-la a enfrentá-los e resolvê-los.","['Policial', 'Drama', 'Mistério', 'Romance', 'Suspense']",3000000,8211
356,Os Reis do Ié-Ié-Ié,A Hard Day's Night,1964,87,['Richard Lester'],['Alun Owen'],"['John Lennon', 'Paul McCartney', 'George Harrison']",7.5,49000.0,"Durante dois dias ""típicos"" na vida dos Beatles, os meninos lutam para manter sob controle o avô arteiro de Sir Paul McCartney e a si mesmos enquanto se preparam para uma apresentação ao vivo na TV.","['Comédia', 'Musical']",560000,2362523
357,Zulu,Zulu,1964,138,['Cy Endfield'],"['John Prebble', 'Cy Endfield']","['Stanley Baker', 'Jack Hawkins', 'Ulla Jacobsson']",7.7,44000.0,Soldados britânicos lutam com os guerreiros Zulu em Rorke's Drift.,"['Drama', 'História', 'Guerra']",0,0
358,Os Guarda-Chuvas do Amor,Les parapluies de Cherbourg,1964,91,['Jacques Demy'],['Jacques Demy'],"['Catherine Deneuve', 'Nino Castelnuovo', 'Anne Vernon']",7.8,32000.0,Uma jovem separada de seu amante de guerra enfrenta uma decisão que muda sua vida.,"['Drama', 'Musical', 'Romance']",0,0
359,Um Tiro no Escuro,A Shot in the Dark,1964,102,['Blake Edwards'],"['Blake Edwards', 'William Peter Blatty', 'Harry Kurnitz']","['Peter Sellers', 'Elke Sommer', 'George Sanders']",7.3,32000.0,O inspetor Jacques Clouseau está investigando o assassinato do motorista do Sr. Benjamin Ballon em uma fazenda.,"['Comédia', 'Policial', 'Mistério']",0,0
360,Bando à Parte,Bande à part,1964,95,['Jean-Luc Godard'],"['Dolores Hitchens', 'Jean-Luc Godard']","['Anna Karina', 'Claude Brasseur', 'Danièle Girard']",7.6,28000.0,Dois criminosos que gostam de filmes antigos de Hollywood convencem um estudante de idiomas a ajudá-los a cometer um roubo.,"['Comédia', 'Policial', 'Drama']",120000,135732
361,Limite de Segurança,Fail-Safe,1964,112,['Sidney Lumet'],"['Walter Bernstein', 'Eugene Burdick', 'Harvey Wheeler']","['Henry Fonda', 'Walter Matthau', 'Fritz Weaver']",8.0,25000.0,Um defeito técnico envia aviões americanos a Moscou para realizar um ataque nuclear. O início de uma guerra pode ser evitado?,"['Drama', 'Suspense']",0,0
362,"Zorba, o Grego",Alexis Zorbas,1964,142,['Michael Cacoyannis'],"['Nikos Kazantzakis', 'Michael Cacoyannis']","['Anthony Quinn', 'Alan Bates', 'Irene Papas']",7.6,25000.0,Um escritor inglês que viaja a Creta por negócios encontra sua vida mudada para sempre quando conhece o sociável Alexis Zorba.,"['Comédia', 'Drama']",783000,516
363,A Mulher da Areia,Suna no onna,1964,147,['Hiroshi Teshigahara'],"['Kôbô Abe', 'Eiko Yoshida']","['Eiji Okada', 'Kyôko Kishida', 'Kôji Mitsui']",8.5,24000.0,Um entomologista de férias é forçado pelos moradores locais de uma vila a viver com uma mulher cuja função na vida é escavar areia para eles.,"['Drama', 'Suspense']",0,0
364,Onibaba - A Mulher Demônio,Onibaba,1964,103,['Kaneto Shindô'],['Kaneto Shindô'],"['Nobuko Otowa', 'Jitsuko Yoshimura', 'Kei Satô']",7.9,23000.0,"Duas mulheres matam samurais e vendem seus pertences para ganhar a vida. Enquanto uma delas tem um caso com seu vizinho, a outra mulher encontra um misterioso samurai usando uma máscara estranha.","['Drama', 'Terror', 'Suspense']",0,0
365,Mortos que Matam,The Last Man on Earth,1964,86,"['Ubaldo Ragona', 'Sidney Salkow']","['Richard Matheson', 'William F. Leicester', 'Furio M. Monetti']","['Vincent Price', 'Franca Bettoia', 'Emma Danieli']",6.7,22000.0,"Quando uma doença transforma toda a humanidade em mortos-vivos, o último homem na terra se torna um obstinado caçador de vampiros.","['Drama', 'Terror', 'Ficção científica']",0,0
366,Kwaidan - As Quatro Faces do Medo,Kaidan,1964,183,['Masaki Kobayashi'],"['Yôko Mizuki', 'Lafcadio Hearn']","['Rentarô Mikuni', 'Michiyo Aratama', 'Misako Watanabe']",7.9,21000.0,Uma coleção de quatro contos folclóricos japoneses com temas sobrenaturais.,"['Drama', 'Fantasia', 'Terror']",0,0
367,O Trem,The Train,1964,133,['John Frankenheimer'],"['Franklin Coen', 'Frank Davis', 'Rose Valland']","['Burt Lancaster', 'Paul Scofield', 'Jeanne Moreau']",7.8,20000.0,Um coronel alemão carrega um trem com tesouros de arte francesa para enviar à Alemanha. A Resistência deve detê-lo sem danificar a carga.,"['Ação', 'Suspense', 'Guerra']",0,0
368,Deserto Rosso - O Dilema de uma Vida,Il deserto rosso,1964,117,['Michelangelo Antonioni'],"['Michelangelo Antonioni', 'Tonino Guerra', 'Bruno Guillaume']","['Monica Vitti', 'Richard Harris', 'Carlo Chionetti']",7.4,18000.0,"Em uma área industrial, Giuliana, uma mulher instável, tenta lidar com a vida iniciando um caso com uma colega de trabalho na fábrica que seu marido administra.",['Drama'],0,0
369,Sete Dias de Maio,Seven Days in May,1964,118,['John Frankenheimer'],"['Fletcher Knebel', 'Charles W. Bailey II', 'Rod Serling']","['Burt Lancaster', 'Kirk Douglas', 'Fredric March']",7.8,18000.0,Os líderes militares dos Estados Unidos planejam derrubar o presidente porque ele apoia um tratado de desarmamento nuclear e temem um ataque furtivo soviético.,"['Drama', 'Suspense']",0,0
370,A Orgia da Morte,The Masque of the Red Death,1964,89,['Roger Corman'],"['Charles Beaumont', 'R. Wright Campbell', 'Edgar Allan Poe']","['Vincent Price', 'Hazel Court', 'Jane Asher']",6.9,17000.0,"Um príncipe europeu aterroriza os camponeses locais enquanto usa seu castelo como refúgio contra a praga da ""Morte Vermelha"" que assola a terra.","['Drama', 'Terror']",1000000,466
371,Com a Maldade na Alma,"Hush...Hush, Sweet Charlotte",1964,133,['Robert Aldrich'],"['Henry Farrell', 'Lukas Heller', 'Georges Dutter']","['Bette Davis', 'Olivia de Havilland', 'Joseph Cotten']",7.5,16000.0,"Uma velha e solitária beldade sulista, atormentada por um horrível segredo de família, enlouquece após a chegada de um parente que havia sumido.","['Policial', 'Drama', 'Mistério', 'Suspense']",0,0
372,"Becket, o Favorito do Rei",Becket,1964,148,['Peter Glenville'],"['Jean Anouilh', 'Lucienne Hill', 'Edward Anhalt']","['Richard Burton', ""Peter O'Toole"", 'John Gielgud']",7.8,16000.0,"O rei Henrique II da Inglaterra aceita seu afeto por seu amigo íntimo e confidente Thomas Becket, que encontra sua verdadeira honra em observar a vontade divina de Deus e não a do rei.","['Biografia', 'Drama', 'História']",3000000,149327
373,Biquinis de Saint-Tropez,Le gendarme de Saint-Tropez,0,0,['Jean Girault'],"['Richard Balducci', 'Jacques Vilfrid', 'Jean Girault']","['Louis de Funès', 'Geneviève Grad', 'Michel Galabru']",7.1,14000.0,Gendarme Ludovic Cruchot is re-assigned to the French Riviera seaside resort town of Saint-Tropez where petty criminals and his own daughter give him a hard time.,"['Comédia', 'Policial']",0,0
374,O Evangelho Segundo São Mateus,Il vangelo secondo Matteo,1964,137,['Pier Paolo Pasolini'],['Pier Paolo Pasolini'],"['Enrique Irazoqui', 'Margherita Caruso', 'Susanna Pasolini']",7.6,14000.0,"A vida de Jesus Cristo segundo o Evangelho de Mateus. Pasolini apresenta Cristo como uma vanguarda marxista e, por isso, usa parte do texto de Mateus.","['Biografia', 'Drama', 'História']",0,0
375,Por uns Dólares a Mais,Per qualche dollaro in più,1965,132,['Sergio Leone'],"['Sergio Leone', 'Fulvio Morsella', 'Luciano Vincenzoni']","['Clint Eastwood', 'Lee Van Cleef', 'Gian Maria Volontè']",8.2,282000.0,Dois caçadores de recompensas com as mesmas intenções se reúnem para encontrar um criminoso ocidental.,"['Drama', 'Faroeste']",600000,15000000
376,A Noviça Rebelde,The Sound of Music,1965,172,['Robert Wise'],"['Georg Hurdalek', 'Howard Lindsay', 'Russel Crouse']","['Julie Andrews', 'Christopher Plummer', 'Eleanor Parker']",8.1,268000.0,Uma mulher deixa um convento austríaco para se tornar a instrutora dos filhos de um oficial da marinha viúvo.,"['Biografia', 'Drama', 'Família', 'Musical', 'Romance']",8200000,159484051
377,007 Contra a Chantagem Atômica,Thunderball,1965,130,['Terence Young'],"['Richard Maibaum', 'John Hopkins', 'Jack Whittingham']","['Sean Connery', 'Claudine Auger', 'Adolfo Celi']",6.9,130000.0,"James Bond embarca numa aventura cheia de confrontos explosivos e espectaculares cenas debaixo de água enquanto viaja por Nassau, nas Bahamas, à procura do criminoso vilão Emílio Largo, que ameaça mergulhar o mundo num holocausto nuclear.","['Ação', 'Aventura', 'Suspense']",9000000,63607066
378,Doutor Jivago,Doctor Zhivago,1965,197,['David Lean'],"['Boris Pasternak', 'Robert Bolt']","['Omar Sharif', 'Julie Christie', 'Geraldine Chaplin']",7.9,83000.0,"A vida do poeta e físico russo que, apesar de casado, se apaixonou pela esposa de um ativista e viveu a Primeira Guerra Mundial e a Revolução de Outubro.","['Drama', 'Romance', 'Guerra']",11000000,111926200
379,Repulsa ao Sexo,Repulsion,1965,105,['Roman Polanski'],"['Roman Polanski', 'Gérard Brach', 'David Stone']","['Catherine Deneuve', 'Ian Hendry', 'John Fraser']",7.6,59000.0,Uma mulher sexualmente repelida que desaprova o namorado de sua irmã afunda em depressão e tem visões horríveis de estupro e violência.,"['Drama', 'Terror', 'Suspense']",300000,33174
380,O Demônio das Onze Horas,Pierrot le fou,1965,110,['Jean-Luc Godard'],"['Rémo Forlani', 'Jean-Luc Godard', 'Lionel White']","['Jean-Paul Belmondo', 'Anna Karina', 'Graziella Galvani']",7.4,38000.0,"Pierrot escapa de sua sociedade chata e viaja de Paris ao Mar Mediterrâneo com a Marianne, uma garota perseguida por assassinos da Argélia.","['Policial', 'Drama', 'Romance']",300000,148564
381,Alphaville,Alphaville: Une étrange aventure de Lemmy Caution,1965,99,['Jean-Luc Godard'],"['Jean-Luc Godard', 'Paul Éluard']","['Eddie Constantine', 'Anna Karina', 'Akim Tamiroff']",7.0,28000.0,"Um agente secreto americano é enviado para a distante cidade espacial de Alphaville, onde deve encontrar uma pessoa desaparecida e libertar a cidade de seu governante tirânico.","['Drama', 'Mistério', 'Ficção científica', 'Suspense']",220000,65722
382,O Voo da Fênix,The Flight of the Phoenix,1965,142,['Robert Aldrich'],"['Lukas Heller', 'Elleston Trevor']","['James Stewart', 'Richard Attenborough', 'Peter Finch']",7.5,23000.0,"Após um acidente de avião no Saara, um dos sobreviventes diz que ele é um projetista de aviões e que eles podem fazer um avião a partir dos destroços.","['Aventura', 'Drama']",0,0
383,O Barba Ruiva,Akahige,1965,185,['Akira Kurosawa'],"['Masato Ide', 'Hideo Oguni', 'Ryûzô Kikushima']","['Toshirô Mifune', 'Yûzô Kayama', 'Tsutomu Yamazaki']",8.3,22000.0,"No Japão do século 19, um médico da cidade de temperamento áspero, mas caridoso, treina um jovem estagiário.",['Drama'],0,0
384,Help!,Help!,1965,92,['Richard Lester'],"['Marc Behm', 'Charles Wood']","['John Lennon', 'Paul McCartney', 'George Harrison']",7.1,21000.0,"Sir Ringo Starr se vê como alvo de sacrifício humano de um culto, e seus companheiros dos Beatles devem tentar protegê-lo.","['Aventura', 'Comédia', 'Musical']",0,0
385,A Corrida do Século,The Great Race,1965,160,['Blake Edwards'],"['Arthur A. Ross', 'Blake Edwards']","['Tony Curtis', 'Natalie Wood', 'Jack Lemmon']",7.2,20000.0,"No início do século XX, dois rivais, Leslie e o Professor Fate, participam de uma corrida automobilística épica de Nova York a Paris.","['Ação', 'Aventura', 'Comédia', 'Família', 'Romance', 'Esportes', 'Faroeste']",0,0
386,Os Filhos de Katie Elder,The Sons of Katie Elder,1965,122,['Henry Hathaway'],"['William H. Wright', 'Allan Weiss', 'Harry Essex']","['John Wayne', 'Dean Martin', 'Martha Hyer']",7.1,20000.0,"Os quatro filhos da proprietária da fazenda, Katie Elder, decidem vingar o assassinato do seu pai e a fraude da sua mãe.","['Drama', 'Faroeste']",0,0
387,O Espião que Saiu do Frio,The Spy Who Came in from the Cold,1965,112,['Martin Ritt'],"['John le Carré', 'Paul Dehn', 'Guy Trosper']","['Richard Burton', 'Oskar Werner', 'Claire Bloom']",7.5,19000.0,"O agente britânico Alec Leamas se recusa a voltar da Guerra Fria durante os anos 60 e opta por enfrentar outra missão, que pode ser sua última.","['Drama', 'Suspense']",0,0
388,A Mesa do Diabo,The Cincinnati Kid,1965,102,"['Norman Jewison', 'Sam Peckinpah']","['Richard Jessup', 'Ring Lardner Jr.', 'Terry Southern']","['Steve McQueen', 'Ann-Margret', 'Edward G. Robinson']",7.2,19000.0,Um promissor jogador de pôquer tenta provar seu valor em uma partida de apostas altas contra um experiente mestre do jogo.,['Drama'],0,0
389,Uma Batalha no Inferno,Battle of the Bulge,1965,167,['Ken Annakin'],"['Philip Yordan', 'Milton Sperling', 'John Melson']","['Henry Fonda', 'Robert Shaw', 'Robert Ryan']",6.8,18000.0,Uma dramatização do contra-ataque final da Frente Ocidental da Alemanha nazista na Segunda Guerra Mundial.,"['Drama', 'História', 'Guerra']",0,0
390,Ipcress: Arquivo Confidencial,The Ipcress File,1965,109,['Sidney J. Furie'],"['Len Deighton', 'W.H. Canaway', 'James Doran']","['Michael Caine', 'Nigel Green', 'Guy Doleman']",7.2,18000.0,"Em Londres, um agente de contra-espionagem lida com a sua própria burocracia enquanto investiga o rapto e a lavagem ao cérebro de cientistas britânicos.","['Drama', 'Suspense']",750000,10507
391,Dívida de Sangue,Cat Ballou,1965,97,['Elliot Silverstein'],"['Walter Newman', 'Frank Pierson', 'Roy Chanslor']","['Jane Fonda', 'Lee Marvin', 'Michael Callan']",6.7,17000.0,Uma jovem professora se torna uma fora-da-lei para vingar seu pai assassinado.,['Faroeste'],0,0
