,titulo,titulo_original,ano,duracao,diretor,roteirista,elenco,nota,num_votos,sinopse,genero,verba,receita
1064,O Guarda-Costas,The Bodyguard,1992,129,['Mick Jackson'],['Lawrence Kasdan'],"['Kevin Costner', 'Whitney Houston', 'Gary Kemp']",6.4,151000.0,"Um ex-agente do Serviço Secreto assume o cargo de guarda-costas de uma cantora de R&B, cujo estilo de vida é muito diferente ao de um presidente.","['Ação', 'Drama', 'Musical', 'Romance', 'Suspense']",25000000,411046449
1065,Meu Primo Vinny,My Cousin Vinny,0,0,['Jonathan Lynn'],['Dale Launer'],"['Joe Pesci', 'Marisa Tomei', 'Ralph Macchio']",7.6,146000.0,"Dois nova-iorquinos acusados de assassinato na zona rural do Alabama enquanto voltavam para a faculdade pedem ajuda a um de seus primos, um advogado sem experiência.","['Comédia', 'Policial']",11000000,64088552
1066,A Morte lhe Cai Bem,Death Becomes Her,1992,104,['Robert Zemeckis'],"['Martin Donovan', 'David Koepp']","['Meryl Streep', 'Bruce Willis', 'Goldie Hawn']",6.7,138000.0,"Quando uma mulher fica sabendo de um tratamento de imortalidade, ela o vê como uma maneira de superar sua rival de longa data.","['Comédia', 'Fantasia', 'Terror']",55000000,149022650
1067,Uma Equipe Muito Especial,A League of Their Own,1992,128,['Penny Marshall'],"['Kim Wilson', 'Kelly Candaele', 'Lowell Ganz']","['Tom Hanks', 'Geena Davis', 'Lori Petty']",7.3,124000.0,Duas irmãs se juntam à primeira liga profissional feminina de beisebol e lutam para ajudá-la a ter sucesso em meio a sua rivalidade crescente.,"['Comédia', 'Drama', 'Esportes']",40000000,132440069
1068,Jogos Patrióticos,Patriot Games,1992,117,['Phillip Noyce'],"['Tom Clancy', 'W. Peter Iliff', 'Donald E. Stewart']","['Harrison Ford', 'Sean Bean', 'Anne Archer']",6.8,123000.0,"Um ex-agente americano de férias em Londres ajuda a evitar um atentado terrorista contra um membro da Família Real Britânica mas, durante o tiroteio, mata o irmão de um dos terroristas, que não medirá esforços para vingar-se.","['Ação', 'Suspense']",45000000,178051587
1069,O Sucesso a Qualquer Preço,Glengarry Glen Ross,1992,100,['James Foley'],['David Mamet'],"['Al Pacino', 'Jack Lemmon', 'Alec Baldwin']",7.7,119000.0,Um exame das maquinações nos bastidores de um escritório imobiliário.,"['Policial', 'Drama', 'Mistério']",12500000,10726612
1070,Mudança de Hábito,Sister Act,1992,100,['Emile Ardolino'],['Paul Rudnick'],"['Whoopi Goldberg', 'Maggie Smith', 'Harvey Keitel']",6.5,111000.0,"Quando a cantora Deloris Van Cartier vê seu namorado mafioso Vince LaRocca cometer um homicídio, ela é transferida para a sua proteção, para um convento na Califórnia. Lá, Deloris começa a mudar a vida tranquila das irmãs.","['Comédia', 'Família', 'Musical']",31000000,231605150
1071,Twin Peaks: Os Últimos Dias de Laura Palmer,Twin Peaks: Fire Walk with Me,1992,134,['David Lynch'],"['David Lynch', 'Robert Engels', 'Mark Frost']","['Sheryl Lee', 'Ray Wise', 'Mädchen Amick']",7.3,108000.0,Um jovem agente do FBI desaparece enquanto investiga um assassinato a quilômetros de Twin Peaks que pode estar relacionado ao futuro assassinato de Laura Palmer.,"['Drama', 'Terror', 'Mistério', 'Suspense']",10000000,4248389
1072,Porco Rosso - O Último Herói Romântico,Kurenai no buta,1992,94,['Hayao Miyazaki'],['Hayao Miyazaki'],"['Shûichirô Moriyama', 'Tokiko Katô', 'Bunshi Katsura VI']",7.7,106000.0,"Na Itália dos anos 30, um piloto veterano da Primeira Guerra Mundial está condenado a parecer um porco antropomórfico.","['Animação', 'Aventura', 'Comédia', 'Fantasia']",0,0
1073,Fome Animal,Braindead,1992,104,['Peter Jackson'],"['Stephen Sinclair', 'Fran Walsh', 'Peter Jackson']","['Timothy Balme', 'Diana Peñalver', 'Elizabeth Moody']",7.5,106000.0,"A mãe de um jovem é mordida por um macaco de Sumatra. Ela fica doente e morre, quando ela volta à vida, matando e comendo cachorros, enfermeiros, amigos e vizinhos.","['Comédia', 'Fantasia', 'Terror', 'Suspense']",3000000,242623
